categoria,objeto,detalhe,coluna,tipo,valor,extra
Coluna,likes,null,user_id,uuid,null,NO
Coluna,likes,null,id,uuid,gen_random_uuid(),NO
Coluna,likes,null,created_at,timestamp with time zone,now(),YES
Coluna,likes,null,profile_id,uuid,null,NO
Coluna,messages,null,id,uuid,uuid_generate_v4(),NO
Coluna,messages,null,created_at,timestamp with time zone,now(),NO
Coluna,messages,null,recipient_id,uuid,null,NO
Coluna,messages,null,receiver_id,uuid,null,NO
Coluna,messages,null,content,text,null,NO
Coluna,messages,null,sender_id,uuid,null,NO
Coluna,payments,null,subscription_id,uuid,null,YES
Coluna,payments,null,user_id,uuid,null,NO
Coluna,payments,null,payment_method,text,null,NO
Coluna,payments,null,transaction_id,text,null,YES
Coluna,payments,null,payment_status,text,'pending'::text,NO
Coluna,payments,null,created_at,timestamp with time zone,now(),YES
Coluna,payments,null,amount,numeric,null,NO
Coluna,payments,null,id,uuid,gen_random_uuid(),NO
Coluna,profile_views,null,viewer_id,uuid,null,NO
Coluna,profile_views,null,id,uuid,gen_random_uuid(),NO
Coluna,profile_views,null,created_date,date,null,YES
Coluna,profile_views,null,created_at,timestamp with time zone,now(),YES
Coluna,profile_views,null,profile_id,uuid,null,NO
Coluna,profiles,null,name,text,null,YES
Coluna,profiles,null,nickname,text,null,YES
Coluna,profiles,null,is_premium,boolean,false,YES
Coluna,profiles,null,popularity,integer,0,YES
Coluna,profiles,null,registered_date,timestamp with time zone,now(),YES
Coluna,profiles,null,age,integer,null,YES
Coluna,profiles,null,is_admin,boolean,false,NO
Coluna,profiles,null,email,text,null,YES
Coluna,profiles,null,profile_type,text,null,YES
Coluna,profiles,null,marital_status,text,null,YES
Coluna,profiles,null,children,text,null,YES
Coluna,profiles,null,state,text,null,YES
Coluna,profiles,null,city,text,null,YES
Coluna,profiles,null,height,text,null,YES
Coluna,profiles,null,body_type,text,null,YES
Coluna,profiles,null,ethnicity,text,null,YES
Coluna,profiles,null,hair_color,text,null,YES
Coluna,profiles,null,eye_color,text,null,YES
Coluna,profiles,null,smoking,text,null,YES
Coluna,profiles,null,drinking,text,null,YES
Coluna,profiles,null,travel,text,null,YES
Coluna,profiles,null,education,text,null,YES
Coluna,profiles,null,occupation,text,null,YES
Coluna,profiles,null,income,text,null,YES
Coluna,profiles,null,net_worth,text,null,YES
Coluna,profiles,null,image_urls,ARRAY,'{}'::text[],YES
Coluna,profiles,null,id,uuid,null,NO
Coluna,profiles,null,birth_date,date,null,YES
Coluna,profiles,null,is_verified,boolean,false,YES
Coluna,subscription_plans,null,description,text,null,YES
Coluna,subscription_plans,null,name,text,null,NO
Coluna,subscription_plans,null,features,ARRAY,null,YES
